<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.08	18:00:00	4734.136	4744.599	4703.402	4705.453	27134	0	280
2026.04.08	19:00:00	4705.228	4731.908	4699.471	4730.446	21137	0	280
2026.04.08	20:00:00	4730.555	4732.167	4716.963	4719.435	6410	0	280
2026.04.08	22:00:00	4729.081	4732.502	4704.709	4717.841	8498	0	280
2026.04.08	23:00:00	4717.763	4720.107	4705.260	4715.527	7040	0	280
2026.04.09	00:00:00	4715.597	4719.096	4698.047	4706.636	14496	0	280
2026.04.09	01:00:00	4706.578	4728.028	4699.513	4727.119	22689	0	280
2026.04.09	02:00:00	4727.183	4733.045	4717.511	4718.925	10640	0	280
2026.04.09	03:00:00	4718.864	4720.370	4705.174	4711.350	10278	0	280
2026.04.09	04:00:00	4711.357	4725.531	4709.708	4720.947	6742	0	280
2026.04.09	05:00:00	4721.007	4726.671	4705.630	4713.369	12204	0	280
2026.04.09	06:00:00	4713.354	4725.372	4703.355	4712.653	14222	0	280
2026.04.09	07:00:00	4712.590	4731.249	4705.672	4724.185	16853	0	280
2026.04.09	08:00:00	4724.323	4733.207	4719.762	4726.270	10504	0	280
2026.04.09	09:00:00	4726.064	4733.403	4723.014	4729.201	8790	0	280
2026.04.09	10:00:00	4729.055	4746.665	4723.393	4741.118	10048	0	280
2026.04.09	11:00:00	4740.942	4757.551	4738.365	4756.369	9115	0	280
2026.04.09	12:00:00	4756.433	4759.900	4734.765	4745.922	14691	0	280
2026.04.09	13:00:00	4745.979	4777.191	4738.562	4764.463	24090	0	280
2026.04.09	14:00:00	4764.533	4776.275	4747.035	4768.228	21511	0	280
2026.04.09	15:00:00	4768.287	4797.975	4761.186	4792.873	22852	0	280
2026.04.09	16:00:00	4792.926	4801.139	4784.167	4788.674	14601	0	280
2026.04.09	17:00:00	4788.734	4801.259	4786.625	4797.897	10855	0	280
2026.04.09	18:00:00	4797.550	4798.212	4767.530	4772.256	16683	0	280
2026.04.09	19:00:00	4772.190	4782.662	4766.826	4768.886	24584	0	280
2026.04.09	20:00:00	4768.944	4773.449	4760.719	4765.039	5968	0	280
2026.04.09	22:00:00	4779.021	4779.455	4758.624	4764.035	6226	0	280
2026.04.09	23:00:00	4764.068	4764.258	4756.732	4763.598	4769	0	280
2026.04.10	00:00:00	4763.661	4763.661	4750.746	4762.731	10976	0	280
2026.04.10	01:00:00	4762.794	4777.177	4757.939	4764.649	14872	0	280
2026.04.10	02:00:00	4764.711	4765.402	4737.851	4752.907	12934	0	280
2026.04.10	03:00:00	4752.843	4769.432	4752.749	4766.328	8257	0	280
2026.04.10	04:00:00	4766.683	4770.926	4758.022	4758.700	5491	0	280
2026.04.10	05:00:00	4758.690	4769.306	4757.436	4766.126	8572	0	280
2026.04.10	06:00:00	4765.925	4765.925	4742.723	4746.287	11557	0	280
2026.04.10	07:00:00	4746.230	4757.456	4741.217	4749.804	8510	0	280
2026.04.10	08:00:00	4749.841	4753.242	4730.580	4740.860	10884	0	280
2026.04.10	09:00:00	4740.639	4760.708	4740.490	4751.380	11803	0	280
2026.04.10	10:00:00	4751.455	4760.681	4742.160	4757.242	7463	0	280
2026.04.10	11:00:00	4756.945	4768.742	4753.152	4768.063	7631	0	280
2026.04.10	12:00:00	4768.127	4782.306	4759.706	4771.948	16186	0	160
2026.04.10	13:00:00	4771.879	4780.419	4764.888	4775.170	22111	0	280
2026.04.10	14:00:00	4775.338	4795.181	4767.520	4774.898	22298	0	280
2026.04.10	15:00:00	4774.970	4787.344	4754.903	4761.964	19574	0	280
2026.04.10	16:00:00	4762.231	4766.059	4747.358	4763.934	15852	0	280
2026.04.10	17:00:00	4763.869	4768.683	4758.042	4760.409	10584	0	280
2026.04.10	18:00:00	4760.474	4773.186	4750.793	4765.066	9772	0	280
2026.04.10	19:00:00	4765.134	4770.494	4758.361	4759.694	8033	0	280
2026.04.10	20:00:00	4759.784	4760.076	4740.834	4749.370	7211	0	280
2026.04.12	22:00:00	4670.232	4685.131	4644.070	4658.851	14286	0	280
2026.04.12	23:00:00	4658.852	4671.787	4644.259	4671.545	9715	0	280
2026.04.13	00:00:00	4671.187	4698.666	4664.495	4695.368	14736	0	280
2026.04.13	01:00:00	4695.309	4727.945	4693.565	4721.132	24712	0	280
2026.04.13	02:00:00	4721.373	4728.025	4711.327	4720.604	12636	0	280
2026.04.13	03:00:00	4720.246	4723.844	4712.172	4718.290	7722	0	280
2026.04.13	04:00:00	4718.269	4725.098	4708.058	4723.002	7322	0	280
2026.04.13	05:00:00	4723.047	4730.783	4716.297	4729.539	9838	0	280
2026.04.13	06:00:00	4729.286	4732.760	4720.681	4725.437	11427	0	280
2026.04.13	07:00:00	4725.499	4740.070	4725.002	4733.802	11896	0	280
2026.04.13	08:00:00	4733.816	4738.714	4720.019	4723.525	10552	0	280
2026.04.13	09:00:00	4723.493	4728.664	4710.549	4714.776	10646	0	280
2026.04.13	10:00:00	4714.794	4723.875	4708.124	4721.993	8150	0	280
2026.04.13	11:00:00	4721.927	4729.190	4703.510	4706.608	12685	0	280
2026.04.13	12:00:00	4706.698	4725.171	4703.629	4723.534	14877	0	280
2026.04.13	13:00:00	4723.568	4744.585	4721.125	4730.502	29381	0	280
2026.04.13	14:00:00	4730.433	4731.419	4708.796	4719.179	24262	0	280
2026.04.13	15:00:00	4718.903	4719.900	4700.124	4714.638	18545	0	280
2026.04.13	16:00:00	4714.288	4746.286	4709.405	4733.091	24375	0	280
2026.04.13	17:00:00	4733.117	4749.876	4725.632	4730.032	13529	0	280
2026.04.13	18:00:00	4730.077	4740.796	4723.035	4738.262	9293	0	280
2026.04.13	19:00:00	4738.189	4747.508	4730.597	4741.283	8772	0	280
2026.04.13	20:00:00	4741.046	4744.256	4738.174	4741.100	4306	0	280
2026.04.13	22:00:00	4750.803	4759.440	4745.931	4757.829	5312	0	280
2026.04.13	23:00:00	4757.766	4766.045	4754.333	4757.511	5380	0	280
2026.04.14	00:00:00	4757.699	4775.851	4751.483	4769.651	11357	0	280
2026.04.14	01:00:00	4769.594	4777.063	4761.684	4764.591	15045	0	280
2026.04.14	02:00:00	4764.507	4777.353	4762.137	4774.928	8915	0	280
2026.04.14	03:00:00	4774.962	4775.629	4765.632	4768.173	6199	0	280
2026.04.14	04:00:00	4768.253	4776.887	4766.842	4774.231	4403	0	280
2026.04.14	05:00:00	4774.263	4774.333	4757.965	4760.172	9319	0	280
2026.04.14	06:00:00	4760.162	4783.105	4759.944	4781.951	9840	0	280
2026.04.14	07:00:00	4782.023	4796.449	4767.815	4777.057	15277	0	280
2026.04.14	08:00:00	4776.984	4789.832	4774.071	4786.552	9960	0	280
2026.04.14	09:00:00	4786.993	4789.126	4771.297	4778.362	9152	0	280
2026.04.14	10:00:00	4778.234	4788.094	4751.685	4768.552	10384	0	280
2026.04.14	11:00:00	4768.487	4783.045	4766.694	4775.049	9697	0	280
2026.04.14	12:00:00	4775.106	4777.535	4762.194	4771.488	14513	0	280
2026.04.14	13:00:00	4771.118	4803.445	4770.971	4794.430	21363	0	280
2026.04.14	14:00:00	4794.493	4817.859	4792.764	4803.974	20085	0	280
2026.04.14	15:00:00	4803.743	4816.172	4791.074	4807.993	15104	0	280
2026.04.14	16:00:00	4808.024	4820.396	4804.901	4810.245	10802	0	280
2026.04.14	17:00:00	4810.247	4841.515	4809.293	4835.191	12002	0	280
2026.04.14	18:00:00	4835.131	4843.424	4830.843	4835.745	8448	0	280
2026.04.14	19:00:00	4835.625	4846.313	4835.625	4844.587	7817	0	280
2026.04.14	20:00:00	4844.657	4846.013	4839.378	4840.739	3978	0	280
2026.04.14	22:00:00	4839.629	4850.676	4833.170	4835.156	5703	0	280
2026.04.14	23:00:00	4835.096	4844.216	4833.648	4836.889	6118	0	280
2026.04.15	00:00:00	4836.946	4839.700	4827.245	4835.625	8406	0	280
2026.04.15	01:00:00	4835.578	4871.359	4828.169	4847.234	20190	0	280
2026.04.15	02:00:00	4846.867	4853.414	4820.304	4824.012	14775	0	280
2026.04.15	03:00:00	4823.710	4829.429	4816.714	4823.950	8699	0	280
2026.04.15	04:00:00	4824.125	4827.841	4820.466	4825.076	5250	0	280
2026.04.15	05:00:00	4824.760	4830.356	4812.471	4819.773	12576	0	280
2026.04.15	06:00:00	4819.855	4825.015	4810.942	4811.578	10241	0	280
2026.04.15	07:00:00	4811.871	4817.036	4803.836	4810.975	12356	0	280
2026.04.15	08:00:00	4810.912	4821.027	4804.620	4818.171	10136	0	280
2026.04.15	09:00:00	4818.110	4819.390	4786.049	4798.081	14661	0	280
2026.04.15	10:00:00	4798.191	4805.119	4789.982	4799.858	13008	0	280
2026.04.15	11:00:00	4800.212	4815.032	4795.585	4812.722	10088	0	280
2026.04.15	12:00:00	4812.655	4816.216	4806.953	4811.751	10430	0	280
2026.04.15	13:00:00	4811.688	4830.121	4808.426	4828.629	18827	0	280
2026.04.15	14:00:00	4828.542	4830.688	4813.354	4815.636	14400	0	280
2026.04.15	15:00:00	4815.705	4816.284	4786.692	4801.800	17927	0	280
2026.04.15	16:00:00	4801.734	4812.742	4800.007	4803.686	11778	0	280
2026.04.15	17:00:00	4803.746	4808.714	4790.795	4792.596	10333	0	280
2026.04.15	18:00:00	4792.385	4802.153	4789.933	4799.897	9663	0	280
2026.04.15	19:00:00	4799.544	4803.551	4794.349	4795.951	7251	0	280
2026.04.15	20:00:00	4796.010	4796.739	4787.612	4791.166	4405	0	280
2026.04.15	22:00:00	4797.162	4811.997	4791.120	4807.696	4712	0	280
2026.04.15	23:00:00	4807.675	4826.637	4807.617	4823.572	4552	0	280
2026.04.16	00:00:00	4823.217	4837.601	4820.235	4832.853	8401	0	280
2026.04.16	01:00:00	4832.852	4836.495	4811.174	4818.061	11543	0	280
2026.04.16	02:00:00	4817.980	4825.014	4812.491	4819.499	8687	0	280
2026.04.16	03:00:00	4819.732	4826.992	4818.997	4824.174	6044	0	280
2026.04.16	04:00:00	4824.174	4833.548	4822.846	4832.780	4703	0	280
2026.04.16	05:00:00	4832.838	4838.371	4821.023	4821.392	8506	0	280
2026.04.16	06:00:00	4821.463	4830.425	4814.166	4826.134	11664	0	280
2026.04.16	07:00:00	4826.192	4831.046	4816.901	4821.228	10999	0	280
2026.04.16	08:00:00	4821.220	4821.843	4806.397	4813.548	10235	0	280
2026.04.16	09:00:00	4813.578	4817.836	4806.781	4812.597	8316	0	280
2026.04.16	10:00:00	4812.609	4817.333	4804.978	4817.010	7422	0	280
2026.04.16	11:00:00	4817.076	4822.478	4815.469	4822.252	7213	0	280
2026.04.16	12:00:00	4822.320	4823.169	4811.360	4816.337	9603	0	280
2026.04.16	13:00:00	4816.116	4824.007	4784.549	4794.686	22621	0	280
2026.04.16	14:00:00	4794.602	4805.194	4772.813	4788.512	29321	0	280
2026.04.16	15:00:00	4788.792	4812.967	4788.120	4806.743	18788	0	280
2026.04.16	16:00:00	4806.678	4810.160	4785.123	4791.868	14407	0	280
2026.04.16	17:00:00	4792.222	4795.412	4781.374	4788.984	12114	0	280
2026.04.16	18:00:00	4788.925	4794.036	4785.701	4789.327	9369	0	280
2026.04.16	19:00:00	4789.313	4798.636	4789.313	4793.737	7542	0	280
2026.04.16	20:00:00	4793.669	4793.938	4786.263	4790.146	3910	0	280
2026.04.16	22:00:00	4794.579	4797.889	4790.935	4795.375	4555	0	280
2026.04.16	23:00:00	4795.317	4797.879	4791.575	4791.651	4210	0	280
2026.04.17	00:00:00	4791.559	4801.252	4785.794	4794.940	7196	0	280
2026.04.17	01:00:00	4795.002	4795.717	4767.401	4789.223	16111	0	280
2026.04.17	02:00:00	4789.219	4794.636	4784.492	4784.685	7438	0	280
2026.04.17	03:00:00	4784.742	4798.232	4784.742	4793.418	7046	0	280
2026.04.17	04:00:00	4793.393	4804.686	4792.478	4802.809	4732	0	280
2026.04.17	05:00:00	4802.820	4806.369	4793.618	4794.313	8668	0	280
2026.04.17	06:00:00	4794.433	4795.298	4779.107	4785.071	9651	0	280
2026.04.17	07:00:00	4785.142	4794.665	4778.684	4784.474	8138	0	280
2026.04.17	08:00:00	4784.460	4796.650	4780.850	4795.744	7780	0	280
2026.04.17	09:00:00	4795.685	4800.951	4790.010	4790.490	7010	0	280
2026.04.17	10:00:00	4790.548	4793.904	4782.155	4787.203	6631	0	280
2026.04.17	11:00:00	4787.263	4811.769	4783.276	4799.214	8243	0	280
2026.04.17	12:00:00	4799.279	4847.737	4797.535	4846.324	23790	0	280
2026.04.17	13:00:00	4846.090	4889.866	4834.826	4879.969	47878	0	280
2026.04.17	14:00:00	4880.029	4885.589	4860.606	4873.242	24364	0	280
2026.04.17	15:00:00	4873.309	4880.377	4854.662	4867.541	21440	0	280
2026.04.17	16:00:00	4867.472	4873.515	4863.729	4866.755	10163	0	280
2026.04.17	17:00:00	4866.821	4869.509	4853.490	4862.611	14309	0	280
2026.04.17	18:00:00	4862.401	4868.067	4855.869	4858.352	9212	0	280
2026.04.17	19:00:00	4858.410	4861.337	4852.651	4854.514	9117	0	280
2026.04.17	20:00:00	4854.670	4855.283	4830.727	4832.633	10027	0	280
2026.04.19	22:00:00	4774.618	4795.369	4771.057	4779.369	11937	0	360
2026.04.19	23:00:00	4779.388	4779.503	4736.736	4754.935	12565	0	360
2026.04.20	00:00:00	4755.380	4774.390	4744.846	4772.266	16585	0	280
2026.04.20	01:00:00	4772.582	4814.463	4771.086	4807.955	20191	0	280
2026.04.20	02:00:00	4807.880	4809.005	4792.963	4797.403	10237	0	280
2026.04.20	03:00:00	4797.342	4798.327	4788.801	4791.005	7949	0	280
2026.04.20	04:00:00	4791.068	4795.859	4786.942	4788.919	6368	0	280
2026.04.20	05:00:00	4788.613	4795.820	4779.407	4790.904	12143	0	280
2026.04.20	06:00:00	4790.591	4795.350	4783.716	4795.267	12286	0	280
2026.04.20	07:00:00	4795.326	4805.458	4786.847	4789.538	12681	0	280
2026.04.20	08:00:00	4789.653	4796.086	4785.887	4795.932	8790	0	280
2026.04.20	09:00:00	4795.870	4797.970	4783.210	4791.358	8448	0	280
2026.04.20	10:00:00	4791.783	4800.907	4789.909	4795.658	6674	0	280
2026.04.20	11:00:00	4795.718	4810.870	4786.480	4810.295	9386	0	280
2026.04.20	12:00:00	4810.237	4821.950	4798.901	4803.483	13731	0	280
2026.04.20	13:00:00	4803.542	4826.439	4799.421	4817.933	21494	0	280
2026.04.20	14:00:00	4817.997	4827.671	4792.375	4805.124	24844	0	280
