<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.05	22:30:00	4636.480	4646.119	4632.088	4642.343	2674	0	280
2026.04.05	22:45:00	4642.656	4653.991	4608.316	4645.425	7409	0	360
2026.04.05	23:00:00	4645.521	4651.400	4626.935	4632.626	3889	0	360
2026.04.05	23:15:00	4632.323	4633.990	4609.204	4609.901	2859	0	360
2026.04.05	23:30:00	4609.911	4617.205	4605.069	4607.267	3225	0	280
2026.04.05	23:45:00	4607.374	4619.283	4607.374	4610.674	2379	0	280
2026.04.06	00:00:00	4610.706	4626.741	4606.988	4626.230	6442	0	280
2026.04.06	00:15:00	4626.001	4629.491	4600.572	4603.157	6148	0	280
2026.04.06	00:30:00	4603.188	4621.664	4602.889	4618.934	4761	0	280
2026.04.06	00:45:00	4618.876	4626.042	4615.629	4622.296	3094	0	280
2026.04.06	01:00:00	4622.382	4642.635	4622.211	4641.637	4141	0	280
2026.04.06	01:15:00	4641.643	4643.253	4620.288	4641.006	3854	0	280
2026.04.06	01:30:00	4640.948	4641.409	4622.734	4627.587	3835	0	280
2026.04.06	01:45:00	4627.582	4629.164	4621.437	4625.773	2479	0	280
2026.04.06	02:00:00	4625.986	4640.090	4623.545	4636.235	4066	0	280
2026.04.06	02:15:00	4636.365	4671.878	4636.365	4661.196	6372	0	280
2026.04.06	02:30:00	4661.226	4666.614	4644.010	4651.301	4629	0	280
2026.04.06	02:45:00	4651.294	4656.325	4647.403	4648.162	3292	0	280
2026.04.06	03:00:00	4648.098	4648.211	4628.542	4633.219	4529	0	280
2026.04.06	03:15:00	4633.290	4636.533	4625.175	4630.429	3677	0	280
2026.04.06	03:30:00	4630.154	4633.460	4625.401	4632.521	2887	0	280
2026.04.06	03:45:00	4632.459	4642.314	4630.575	4640.486	2092	0	280
2026.04.06	04:00:00	4640.368	4648.627	4639.837	4643.551	2527	0	280
2026.04.06	04:15:00	4643.592	4646.828	4641.158	4646.711	1715	0	280
2026.04.06	04:30:00	4646.492	4651.136	4642.961	4649.012	1734	0	280
2026.04.06	04:45:00	4649.001	4660.048	4646.628	4658.904	1712	0	280
2026.04.06	05:00:00	4658.910	4676.763	4657.753	4673.391	3297	0	280
2026.04.06	05:15:00	4673.387	4678.938	4666.842	4667.130	2856	0	280
2026.04.06	05:30:00	4667.251	4668.982	4661.117	4661.369	2198	0	280
2026.04.06	05:45:00	4661.604	4667.331	4651.541	4652.784	2453	0	280
2026.04.06	06:00:00	4652.791	4661.688	4643.376	4660.747	3395	0	280
2026.04.06	06:15:00	4660.754	4662.380	4652.694	4657.491	2472	0	280
2026.04.06	06:30:00	4657.472	4660.127	4651.606	4655.706	2168	0	280
2026.04.06	06:45:00	4655.619	4667.930	4653.818	4665.849	4576	0	280
2026.04.06	07:00:00	4665.791	4666.878	4647.926	4651.672	3357	0	280
2026.04.06	07:15:00	4651.708	4655.758	4644.942	4650.611	3004	0	280
2026.04.06	07:30:00	4650.544	4665.674	4650.050	4664.078	2651	0	280
2026.04.06	07:45:00	4664.020	4688.674	4662.495	4684.498	4822	0	280
2026.04.06	08:00:00	4684.695	4694.670	4680.371	4689.662	4897	0	280
2026.04.06	08:15:00	4689.750	4695.807	4684.288	4691.052	3669	0	280
2026.04.06	08:30:00	4690.983	4695.771	4689.783	4692.814	2821	0	280
2026.04.06	08:45:00	4692.810	4698.268	4691.569	4695.562	2648	0	280
2026.04.06	09:00:00	4695.630	4703.125	4695.630	4701.081	3112	0	280
2026.04.06	09:15:00	4701.126	4703.796	4697.069	4702.194	2828	0	280
